title,price,price_per_meter,location,motgage,loan_term,downpayment,area,ownership,rooms,state,floor,balcony_garden_terrace,rent,parking,remote_service,heating,market,advertiser,availability,construction_year,construction_type,windows,elevator,media,security,equipment,additional_info,building_material,offer_id,created_at,updated_at,url
Sprzedam mieszkanie 56 m2 Kościerzyna,419 000 zł,7 482 zł/m²,Zobacz na mapie,2745 zł /mc,30 lat,83 800 zł (20%),56 m²,pełna własność,3 ,do zamieszkania,2/2,balkon,,,,miejskie,wtórny,prywatny,brak informacji,brak informacji,blok,brak informacji,nie,"telewizja kablowa, internet, telefon",brak informacji,brak informacji,"piwnica, oddzielna kuchnia",brak informacji,Nr oferty w Otodom: 63800696,Data dodania:  11 dni temu,Data aktualizacji: 11 dni temu,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-56-m2-koscierzyna-ID4jHtu
Wyjątkowe 128m2 METRO sprzedaż bezpośrednia,1 750 000 zł,13 672 zł/m²,Zobacz na mapie,11 467 zł /mc,30 lat,350 000 zł (20%),128 m²,pełna własność,4 ,do zamieszkania,parter/7,"ogródek, taras",,,,miejskie,wtórny,prywatny,brak informacji,2016,blok,plastikowe,tak,"telewizja kablowa, internet","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",pom. użytkowe,brak informacji,Nr oferty w Otodom: 62880614,Data dodania:  10 miesięcy temu,Data aktualizacji: 12 dni temu,https://www.otodom.pl/pl/oferta/wyjatkowe-128m2-metro-sprzedaz-bezposrednia-ID4fQ7s
"3-pokojowe, 65 m, bezczynszowe, z ogrodem",299 000 zł,4 600 zł/m²,Zobacz na mapie,1959 zł /mc,30 lat,59 800 zł (20%),65 m²,pełna własność,3 ,do zamieszkania,parter/2,ogródek,,,,inne,wtórny,prywatny,brak informacji,brak informacji,blok,drewniane,nie,"internet, telefon",drzwi / okna antywłamaniowe,"lodówka, meble, piekarnik, kuchenka","piwnica, oddzielna kuchnia",brak informacji,Nr oferty w Otodom: 63104783,Data dodania:  8 miesięcy temu,Data aktualizacji: 10 dni temu,https://www.otodom.pl/pl/oferta/3-pokojowe-65-m-bezczynszowe-z-ogrodem-ID4gMr5
"Duży balkon, fajna lokalizacja",699 000 zł,13 189 zł/m²,Zobacz na mapie,4580 zł /mc,30 lat,139 800 zł (20%),53 m²,pełna własność,2 ,do zamieszkania,6/9,balkon,750 zł,,,,wtórny,biuro nieruchomości ,brak informacji,2002,blok,brak informacji,tak,"telewizja kablowa, internet",brak informacji,meble,brak informacji,brak informacji,Nr oferty w Otodom: 63827263,Data dodania:  7 minut temu,Data aktualizacji: 6 minut temu,https://www.otodom.pl/pl/oferta/duzy-balkon-fajna-lokalizacja-ID4jOnZ
